BLCA-2014-TP53/RB-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
Cell cycle progression	ok7nDiB9oQJI	PROCESS	-1	414	436	
CCNE1	hm8HJrbqoWfo	GENE	-1	414	353	
TP53	JYRUofjRoSmI	GENE	-1	605	179	
MDM2	2XKi6b0joGD_	GENE	-1	413	179	
E2F3	mz71J5tHoOtX	GENE	-1	219	436	
Apoptosis	4-9gyc8LoX1s	PROCESS	-1	689	264	
CDKN2A	9A-DhP0-oFUi	GENE	-1	219	179	
CCND1	CsMIDjOQoHLw	GENE	-1	219	264	
FBXW7	mULNbFKfoZFg	GENE	-1	625	353	
ATM	jsI1OPG9oTvl	GENE	-1	605	85	
CDKN1A	mBClqwIZoU7d	GENE	-1	526	264	
RB1	-ACCNJRfoNBI	FAMILY	-1	219	353	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
B1RLlLrEo4cn	mz71J5tHoOtX	ok7nDiB9oQJI	ACTIVATES
As7hIoBSo17y	CsMIDjOQoHLw	-ACCNJRfoNBI	INHIBITS
mjgKjVX6ow0m	2XKi6b0joGD_	JYRUofjRoSmI	INHIBITS
5BaXTZDuo7H8	mULNbFKfoZFg	hm8HJrbqoWfo	INHIBITS
PMdhVppIoyDR	JYRUofjRoSmI	mBClqwIZoU7d	ACTIVATES
w2p9WUJxo22X	-ACCNJRfoNBI	mz71J5tHoOtX	INHIBITS
0hmD92TIo0ux	9A-DhP0-oFUi	CsMIDjOQoHLw	INHIBITS
RfMPHF4FouzT	jsI1OPG9oTvl	JYRUofjRoSmI	ACTIVATES
toSMm4K7owET	JYRUofjRoSmI	2XKi6b0joGD_	ACTIVATES
LPb5J4Quo8EC	mBClqwIZoU7d	hm8HJrbqoWfo	INHIBITS
_PGdKZ50o5vL	hm8HJrbqoWfo	-ACCNJRfoNBI	INHIBITS
Vcmxazyaoz8N	9A-DhP0-oFUi	2XKi6b0joGD_	INHIBITS
sABkuA1_oywi	JYRUofjRoSmI	4-9gyc8LoX1s	ACTIVATES
