GBM-2013-Cell-cycle-signaling-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
CDKN2C	nFMLgWuEmv0Q	GENE	-1	667	136	
CDK4	szeVZ7Elmxvu	GENE	-1	386	249	
CDK6	WvJWw5HPm0Ab	GENE	-1	694	249	
Cyclins	AvEeR8GgnDvF	FAMILY	-1	541	249	
CDKN2A	WHDg2nj1B2yR	GENE	-1	320	136	
Cell cycle control	KJEq6EA_m3Cj	PROCESS	-1	793	383	
CDKN2B	v1zGJhukB2ym	GENE	-1	470	136	
RB1	Nc0stK1rm13Y	FAMILY	-1	541	383	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
4yIGldfunbSO	Nc0stK1rm13Y	KJEq6EA_m3Cj	ACTIVATES
aqdBLSknB2zK	v1zGJhukB2ym	szeVZ7Elmxvu	INHIBITS
bxdBRxkfnYu4	szeVZ7Elmxvu	Nc0stK1rm13Y	INHIBITS
AQXakgefnZf1	AvEeR8GgnDvF	Nc0stK1rm13Y	INHIBITS
bdgYHwINnW4B	nFMLgWuEmv0Q	AvEeR8GgnDvF	INHIBITS
Xslj1XfeB2yz	WHDg2nj1B2yR	szeVZ7Elmxvu	INHIBITS
ve_EiwTjnXrI	nFMLgWuEmv0Q	WvJWw5HPm0Ab	INHIBITS
Q7Uq8jBIB2y5	WHDg2nj1B2yR	AvEeR8GgnDvF	INHIBITS
IL38zL5VB2yv	WHDg2nj1B2yR	WvJWw5HPm0Ab	INHIBITS
6jn1TNkoB2zN	v1zGJhukB2ym	AvEeR8GgnDvF	INHIBITS
BSaYCBi7naes	WvJWw5HPm0Ab	Nc0stK1rm13Y	INHIBITS
JZERPNMdnWL9	nFMLgWuEmv0Q	szeVZ7Elmxvu	INHIBITS
n7Nithx-B2zB	v1zGJhukB2ym	WvJWw5HPm0Ab	INHIBITS
