HNSC-2015-Apoptosis-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
Cell cycle and survival	emPjU9d6DgGP	PROCESS	-1	348	484	
TRAF3	IBsoHlQJDZF8	GENE	-1	530	285	
FADD	DLlGnDdfDTRw	GENE	-1	373	199	
TNFR-LTBR	s0lGLs3rDXus	COMPARTMENT	-1	452	106	
LTBR	M8fueNVgIWYI	GENE	s0lGLs3rDXus	530	106	
Inflammation angiogenesis migration	yeoJnxV0DfTf	PROCESS	-1	581	484	
BIRC2	54AiNjv7DUd9	GENE	-1	530	199	
NF-kB	VeOlULKnDabs	GENE	-1	455	382	
CASP8	kpwET4bNDYMG	GENE	-1	373	285	
TNFR	1f2UD5ctIWYb	GENE	s0lGLs3rDXus	373	106	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
lvrnvkjrD9P-	s0lGLs3rDXus	54AiNjv7DUd9	ACTIVATES
N_skSg-mECnc	kpwET4bNDYMG	VeOlULKnDabs	INHIBITS
OMDbwzxED_x2	54AiNjv7DUd9	kpwET4bNDYMG	INHIBITS
HH4ug7YuD7Fv	s0lGLs3rDXus	DLlGnDdfDTRw	ACTIVATES
f-O5DenwEBjr	54AiNjv7DUd9	IBsoHlQJDZF8	INHIBITS
U1LEKmYqIWYs	1f2UD5ctIWYb	M8fueNVgIWYI	BINDS
hhJPfTk9EHgb	VeOlULKnDabs	emPjU9d6DgGP	ACTIVATES
h3Fekoz9EAiL	DLlGnDdfDTRw	kpwET4bNDYMG	ACTIVATES
Acyl78aaEDXf	IBsoHlQJDZF8	VeOlULKnDabs	INHIBITS
O9oIu8SeEIN_	VeOlULKnDabs	yeoJnxV0DfTf	ACTIVATES
