PanCancer-MYC-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
MXD1	sebHJYu8m0Sz	GENE	v3Im6Y7kmwRF	148	570	
MNT	4wvlb5-9m0TS	GENE	v3Im6Y7kmwRF	812	570	
MLXIPL	mzxQeSZiopNJ	GENE	yy4exb42on70	544	899	
MYC/MAX Complex	GYlJiU2ue2v6	COMPLEX	-1	479	108	
MGA	AUbGLeOinLAS	GENE	6GdETs8ynKIV	580	310	
MAX	b_tjMCl1ltu-	GENE	GYlJiU2ue2v6	479	43	
MYC	T_UDTivdlUal	GENE	GYlJiU2ue2v6	313	172	
MLX	ARAihUkropMx	GENE	yy4exb42on70	463	791	
MLXIP	iH5r0pg6opM7	GENE	yy4exb42on70	368	897	
MLX/MONDO Complex	yy4exb42on70	COMPLEX	-1	456	845	
MAX	xh_ulEUrnLAK	GENE	6GdETs8ynKIV	344	310	
MYCL	_wt_EoHilopS	GENE	GYlJiU2ue2v6	645	173	
MYCN	D0z83WTUll4O	GENE	GYlJiU2ue2v6	478	173	
MXD4	3KYismBym0TM	GENE	v3Im6Y7kmwRF	641	571	
MAX/MXD Complex	v3Im6Y7kmwRF	COMPLEX	-1	480	511	
MXD3	EvEkoSNVm0TF	GENE	v3Im6Y7kmwRF	476	570	
E-Box Transcription	pPBFew23ow43	PROCESS	-1	-237	433	
MAX	tH-XQc1Imxhu	GENE	v3Im6Y7kmwRF	478	452	
MXD2	US42_-97m0S7	GENE	v3Im6Y7kmwRF	310	570	
MAX/MGA Complex	6GdETs8ynKIV	COMPLEX	-1	462	310	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
-nEnj55dlzf1	b_tjMCl1ltu-	T_UDTivdlUal	BINDS
VBLB4vRLl0fg	b_tjMCl1ltu-	D0z83WTUll4O	BINDS
WfZU-4cgBU9P	sebHJYu8m0Sz	ARAihUkropMx	BINDS
IfUMxCekm0Td	US42_-97m0S7	tH-XQc1Imxhu	BINDS
B_1mPUsapBRD	6GdETs8ynKIV	pPBFew23ow43	INHIBITS
GtOKleQDopNU	iH5r0pg6opM7	ARAihUkropMx	BINDS
4IzytJdsm0TZ	sebHJYu8m0Sz	tH-XQc1Imxhu	BINDS
uyG1WyZ9m0Tp	4wvlb5-9m0TS	tH-XQc1Imxhu	BINDS
K5PUim4yo_pH	v3Im6Y7kmwRF	pPBFew23ow43	INHIBITS
jd91-qoOnLAY	xh_ulEUrnLAK	AUbGLeOinLAS	NONE
9bZIZK-yo7oU	GYlJiU2ue2v6	pPBFew23ow43	ACTIVATES
tkefY0hQm0Tl	3KYismBym0TM	tH-XQc1Imxhu	BINDS
WMupKZHGl1SA	b_tjMCl1ltu-	_wt_EoHilopS	BINDS
6E2F3_WpBY9i	3KYismBym0TM	ARAihUkropMx	BINDS
-m8Y1EJgBc6z	4wvlb5-9m0TS	ARAihUkropMx	BINDS
pmyp_pdXopNY	mzxQeSZiopNJ	ARAihUkropMx	BINDS
GvQBRCLmm0Tg	EvEkoSNVm0TF	tH-XQc1Imxhu	BINDS
K8BOC71NpDeb	yy4exb42on70	pPBFew23ow43	ACTIVATES
