PanCancer-PI3K-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
MTOR	sIn3kbHjaqrc	GENE	-1	379	753	
AKT	JAlz13dJACpQ	FAMILY	-1	154	186	
TSC	vwoOSPTlASUN	FAMILY	-1	154	420	
HIF1	PN0uFdLnafQl	GENE	-1	379	1189	
MAP3K1	1mJw-xikakhJ	GENE	-1	-574	189	
AKT3	ZlxL0P0mP5iO	GENE	JAlz13dJACpQ	145	215	
4EBP	zIqi7o7laXIA	GENE	-1	379	1018	
RHEB	b7JATQbkbyQV	GENE	-1	154	753	
VHL	IfQ5KOh8b0gh	GENE	-1	157	1189	
IGF2	cpubtgN4aebI	GENE	-1	-28	-434	
PIK3R1	Uh-JxUF4bxSA	GENE	-1	-240	69	
PIK3R3	5FIdc85DBsfW	GENE	Zv4G4_UR_XGd	137	35	
CCND1	nLr3Gl6WaY0e	GENE	-1	-374	293	
MIR21	UHO2_78FapnI	GENE	-1	525	-187	
AKT1	849brMQCP5hv	GENE	JAlz13dJACpQ	76	156	
TSC1	QxyPs53OGnjU	GENE	vwoOSPTlASUN	75	420	
PIK3R1	e7VhkbHYBse4	GENE	Zv4G4_UR_XGd	-29	-24	
ERBB2	FW68qTv46x02	GENE	EzA3T5fe6bVd	-314	-297	
PI3K	Zv4G4_UR_XGd	FAMILY	-1	54	5	
	QB_-2f20nqSs	PROCESS	-1	-275	288	
GRB10	0kyBIheLaZzN	GENE	-1	348	-43	
RAC1	WhEAq3qCbxwk	GENE	-1	706	104	
Evading apoptosis	wanKU6ULn_b0	PROCESS	-1	643	193	
SQSTM1	jfAgyDk-bze7	GENE	-1	573	753	
IKBKB	FX-PT6Nyahrr	GENE	-1	-133	225	
MTORC2	73fM6hloarnK	GENE	-1	137	-96	
S6K	HspK8Eoqby10	GENE	-1	532	902	
RTK	EzA3T5fe6bVd	FAMILY	-1	-145	-297	
Translation	2KCt0GA_nVvD	PROCESS	-1	-240	-22	
PTEN	oXnPhdFmcY6_	GENE	-1	137	-187	
AKT2	hUFK21zXP5h8	GENE	JAlz13dJACpQ	233	156	
Proliferation	-VMJkiWxnQSW	PROCESS	-1	-240	-173	
Cell survival	Mooz8sdvnSWy	PROCESS	-1	-240	-107	
GRB2L1	n1hBgxNkadi-	GENE	-1	303	-291	
PIK3CB	eFrkf7vGBsel	GENE	Zv4G4_UR_XGd	137	-24	
PIK3CA	soDRKupFBsfF	GENE	Zv4G4_UR_XGd	-26	35	
TSC2	Js0tWsR3Gnjt	GENE	vwoOSPTlASUN	234	420	
STK11	mV4gflG3b0Ad	GENE	-1	485	328	
EGFR	rlZhPM2G6x1F	GENE	EzA3T5fe6bVd	-145	-297	
MAP2K4	_4U_zwt0ajZV	GENE	-1	-574	293	
MTORC1	fsnm0NXkCrcu	GENE	-1	537	-43	
PAK1	t3hWS-mMaslH	GENE	-1	-138	145	
PDK1	63UecpnGau9k	GENE	-1	482	75	
IGF1R	tpsEdQjj6x1U	GENE	EzA3T5fe6bVd	22	-297	
IRS2	9lW64I7naic3	GENE	-1	223	-431	
AMPK	bNzxH9LlaXr4	GENE	-1	379	587	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
xoqDgtdnfe4i	JAlz13dJACpQ	FX-PT6Nyahrr	ACTIVATES
jfr6y0UKQJYo	cpubtgN4aebI	Zv4G4_UR_XGd	ACTIVATES
BaG3deTd6ffj	EzA3T5fe6bVd	Zv4G4_UR_XGd	ACTIVATES
SDEBmdCneCtR	mV4gflG3b0Ad	bNzxH9LlaXr4	ACTIVATES
UnSZZs-qc5nM	Zv4G4_UR_XGd	63UecpnGau9k	ACTIVATES
Ayv-C8UGPkKK	Zv4G4_UR_XGd	JAlz13dJACpQ	ACTIVATES
sHFYpCKhQqHB	0kyBIheLaZzN	Zv4G4_UR_XGd	INHIBITS
pT3W9KILQL_S	oXnPhdFmcY6_	Zv4G4_UR_XGd	INHIBITS
xJjy7qKMP1tI	Zv4G4_UR_XGd	JAlz13dJACpQ	ACTIVATES
cJp69KPmdZiu	sIn3kbHjaqrc	HspK8Eoqby10	ACTIVATES
FUIGKKc2QtfN	9lW64I7naic3	Zv4G4_UR_XGd	ACTIVATES
h-bQiY9XO-5r	JAlz13dJACpQ	vwoOSPTlASUN	INHIBITS
sb0TcvizPBW5	bNzxH9LlaXr4	vwoOSPTlASUN	ACTIVATES
0cjQUnlG6x1x	n1hBgxNkadi-	tpsEdQjj6x1U	ACTIVATES
NBTFAZRydgCk	sIn3kbHjaqrc	zIqi7o7laXIA	INHIBITS
KoqDCP7wBqwP	EzA3T5fe6bVd	Zv4G4_UR_XGd	ACTIVATES
5bh_aZInfhYO	FX-PT6Nyahrr	nLr3Gl6WaY0e	ACTIVATES
nowh6HUkne1I	Zv4G4_UR_XGd	2KCt0GA_nVvD	ACTIVATES
21PF3b3CQxOY	Uh-JxUF4bxSA	Zv4G4_UR_XGd	INHIBITS
vPlXcip2gaKV	jfAgyDk-bze7	sIn3kbHjaqrc	ACTIVATES
Q-hBJNNwndkv	Zv4G4_UR_XGd	Mooz8sdvnSWy	ACTIVATES
leOvpHJ-6x1t	tpsEdQjj6x1U	9lW64I7naic3	ACTIVATES
me4AFr7nPxxY	t3hWS-mMaslH	JAlz13dJACpQ	ACTIVATES
F581RCnlGmNT	mV4gflG3b0Ad	vwoOSPTlASUN	ACTIVATES
fkGu8se8dViB	vwoOSPTlASUN	sIn3kbHjaqrc	INHIBITS
utpwKS8ZfsNA	nLr3Gl6WaY0e	_4U_zwt0ajZV	INHIBITS
Yn3EbVXCnuO9	nLr3Gl6WaY0e	-VMJkiWxnQSW	ACTIVATES
vys7mETveJCU	bNzxH9LlaXr4	sIn3kbHjaqrc	ACTIVATES
GU67-yuxgmOc	Zv4G4_UR_XGd	73fM6hloarnK	ACTIVATES
Gg6IY_gHCujY	fsnm0NXkCrcu	0kyBIheLaZzN	ACTIVATES
v8YBQtgTgOSc	vwoOSPTlASUN	b7JATQbkbyQV	INHIBITS
M9H7mjquPpNn	63UecpnGau9k	JAlz13dJACpQ	ACTIVATES
HBsmMwsie2K4	IfQ5KOh8b0gh	PN0uFdLnafQl	INHIBITS
gMh8ZOA2Qa2Z	mV4gflG3b0Ad	Zv4G4_UR_XGd	INHIBITS
kZUEu-8-et96	zIqi7o7laXIA	PN0uFdLnafQl	ACTIVATES
