PanCancer-TP53/RB Pathway-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
TP53	9cdVGv1VGTxs	GENE	-1	605	179	
CDKN1A	to_EJECuGTyj	GENE	-1	526	264	
CCND1	_cHriBfKG4_o	GENE	_m0_e4IvGiRk	299	258	
MDM2	2kQkEpZ5GTxx	GENE	-1	413	179	
CCNE1	dHbdgiCPGTxp	GENE	-1	414	353	
RB1	2ViBnuEFGTyv	FAMILY	-1	219	353	
CYCLINS	_m0_e4IvGiRk	FAMILY	-1	219	258	
Apoptosis	4eF0qbmkGTx8	PROCESS	-1	689	264	
FBXW7	jr6zO16PGTyS	GENE	-1	625	353	
E2F3	93AcvpUhGTx2	GENE	-1	219	435	
Cell cycle progression	6-71sCoKGTxe	PROCESS	-1	414	436	
CDK4	NMWiN9NXG5AA	GENE	_m0_e4IvGiRk	138	258	
ATM	JvW2qQauGTyb	GENE	-1	605	85	
CDKN2A	7HM7fuZhGTx-	GENE	-1	219	179	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
EaQtB3sEGTzJ	2ViBnuEFGTyv	93AcvpUhGTx2	INHIBITS
cWVfMKVjGx7t	_m0_e4IvGiRk	2ViBnuEFGTyv	INHIBITS
71HOcJ0mGTzm	9cdVGv1VGTxs	4eF0qbmkGTx8	ACTIVATES
LKHjtlhmGTzF	9cdVGv1VGTxs	to_EJECuGTyj	ACTIVATES
8JPw7tzeGTzO	JvW2qQauGTyb	9cdVGv1VGTxs	ACTIVATES
GSZlEpT-GTzB	jr6zO16PGTyS	dHbdgiCPGTxp	INHIBITS
KusSJcB7G5AO	_cHriBfKG4_o	2ViBnuEFGTyv	INHIBITS
Y4W1RghpG5AY	7HM7fuZhGTx-	_cHriBfKG4_o	INHIBITS
KDlYoXM6GTzX	to_EJECuGTyj	dHbdgiCPGTxp	INHIBITS
7xBbc8_yGTzk	7HM7fuZhGTx-	2kQkEpZ5GTxx	INHIBITS
H-7mfe0rGTy5	93AcvpUhGTx2	6-71sCoKGTxe	ACTIVATES
-V90lP4DGTzV	9cdVGv1VGTxs	2kQkEpZ5GTxx	ACTIVATES
IePXU2VXGwWO	7HM7fuZhGTx-	_m0_e4IvGiRk	INHIBITS
KbeLwgloGTzA	2kQkEpZ5GTxx	9cdVGv1VGTxs	INHIBITS
pq4uDzNrGTzi	dHbdgiCPGTxp	2ViBnuEFGTyv	INHIBITS
