PanCancer-TP53-pathway



--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY--
RPS6KA3	g1HLI5DdBvCw	GENE	-1	88	216	
DNA replication stress	O8hCATXNBvCh	PROCESS	-1	-129	-61	
	XGZ2NXTDBvA3	FAMILY	-1	317	-8	
Oncogenic stress	qI-Aa0E0BvCW	PROCESS	-1	49	-54	
CHEK2	Or_WPabRBvBa	GENE	-1	-132	216	
CDKN2A	spX8ahdcBvBy	GENE	-1	544	115	
TP53	qCdsa2xzBvCM	GENE	-1	316	211	
Apoptosis	dYjHRP8UBvB5	PROCESS	-1	207	402	
Senescence	VWLibh9FBvBh	PROCESS	-1	56	402	
MDM2	BJpp41LCBvBQ	GENE	XGZ2NXTDBvA3	317	-42	
MDM4	fMbHC2NvBvBA	GENE	XGZ2NXTDBvA3	316	25	
ATM	zhQmJ3bBBvAr	GENE	-1	-132	54	
Proliferation	Bw78wMFiBvAx	PROCESS	-1	365	402	
Cell survival	sVxler-mBvBr	PROCESS	-1	524	402	

--EDGE_ID	SOURCE	TARGET	EDGE_TYPE
8ZAx6lljBvDb	qCdsa2xzBvCM	VWLibh9FBvBh	ACTIVATES
SgCZYMKMBvDU	zhQmJ3bBBvAr	Or_WPabRBvBa	ACTIVATES
d4wqrFzqBvD1	qCdsa2xzBvCM	dYjHRP8UBvB5	ACTIVATES
k8Oi67ryBvDn	XGZ2NXTDBvA3	qCdsa2xzBvCM	INHIBITS
W2M7H2c7BvDk	qCdsa2xzBvCM	Bw78wMFiBvAx	INHIBITS
X0qQhfIWiGDV	spX8ahdcBvBy	XGZ2NXTDBvA3	INHIBITS
a8EhKLDQBvDP	g1HLI5DdBvCw	qCdsa2xzBvCM	ACTIVATES
2yICOfr-BvDD	qI-Aa0E0BvCW	qCdsa2xzBvCM	ACTIVATES
n6BB_RZvBvDx	spX8ahdcBvBy	qCdsa2xzBvCM	INHIBITS
7GJGAuIyBvDv	O8hCATXNBvCh	zhQmJ3bBBvAr	ACTIVATES
QkWGOFZABvC5	Or_WPabRBvBa	g1HLI5DdBvCw	ACTIVATES
P9bQuiTyBvDS	zhQmJ3bBBvAr	g1HLI5DdBvCw	ACTIVATES
hFaIfCDVBvDp	qCdsa2xzBvCM	sVxler-mBvBr	INHIBITS
